iter	Passed	Remaining
418	2593	3595
419	2600	3591
420	2605	3583
421	2612	3577
422	2619	3573
423	2625	3567
424	2632	3561
425	2637	3554
426	2642	3546
427	2649	3540
428	2654	3533
429	2659	3525
430	2665	3518
431	2670	3511
432	2675	3503
433	2681	3496
434	2686	3489
435	2691	3482
436	2697	3475
437	2702	3467
438	2707	3460
439	2713	3453
440	2718	3446
441	2724	3439
442	2731	3434
443	2737	3427
444	2742	3420
445	2747	3413
446	2752	3405
447	2758	3398
448	2763	3391
449	2768	3383
450	2774	3376
451	2779	3369
452	2784	3362
453	2789	3355
454	2795	3347
455	2800	3340
456	2805	3333
457	2810	3326
458	2815	3318
459	2822	3313
460	2830	3308
461	2835	3302
462	2842	3296
463	2846	3288
464	2852	3281
465	2858	3275
466	2862	3267
467	2868	3260
468	2873	3253
469	2878	3246
470	2884	3239
471	2889	3232
472	2894	3225
473	2899	3217
474	2905	3211
475	2910	3204
476	2915	3196
477	2922	3191
478	2927	3184
479	2933	3177
480	2938	3171
481	2944	3164
482	2950	3158
483	2956	3151
484	2962	3145
485	2969	3141
486	2975	3134
487	2989	3137
488	3004	3139
489	3010	3133
490	3017	3127
491	3024	3122
492	3030	3117
493	3037	3111
494	3043	3105
495	3050	3099
496	3056	3093
497	3061	3085
498	3066	3079
499	3071	3071
500	3076	3064
501	3082	3058
502	3088	3051
503	3093	3044
504	3099	3038
505	3104	3031
506	3109	3023
507	3116	3018
508	3121	3011
509	3126	3003
510	3133	2998
511	3138	2991
512	3144	2985
513	3150	2979
514	3156	2972
515	3162	2966
516	3168	2960
517	3173	2953
518	3181	2948
519	3187	2942
520	3194	2936
521	3201	2931
522	3208	2925
523	3216	2921
524	3222	2915
525	3230	2911
526	3236	2905
527	3246	2902
528	3252	2896
529	3259	2890
530	3266	2884
531	3271	2878
532	3279	2873
533	3285	2866
534	3291	2860
535	3298	2855
536	3305	2849
537	3313	2845
538	3320	2839
539	3327	2834
540	3333	2828
541	3339	2821
542	3346	2816
543	3352	2809
544	3359	2804
545	3364	2797
546	3371	2791
547	3377	2786
548	3384	2779
549	3391	2775
550	3398	2769
551	3405	2763
552	3412	2758
553	3419	2752
554	3426	2747
555	3432	2740
556	3439	2735
557	3445	2729
558	3451	2722
559	3458	2717
560	3464	2711
561	3471	2705
562	3477	2699
563	3487	2696
564	3495	2691
565	3503	2686
566	3510	2680
567	3517	2675
568	3524	2670
569	3531	2664
570	3539	2659
571	3545	2653
572	3554	2648
573	3561	2642
574	3568	2637
575	3573	2630
576	3579	2624
577	3589	2620
578	3595	2614
579	3602	2608
580	3608	2602
581	3614	2596
582	3621	2590
583	3627	2583
584	3634	2578
585	3639	2571
586	3644	2564
587	3651	2558
588	3656	2551
589	3663	2545
590	3670	2539
591	3675	2533
592	3682	2527
593	3689	2521
594	3695	2515
595	3701	2509
596	3707	2502
597	3715	2497
598	3720	2490
599	3726	2484
600	3732	2478
601	3738	2471
602	3746	2466
603	3751	2459
604	3757	2453
605	3764	2447
606	3770	2441
607	3777	2435
608	3784	2429
609	3789	2423
610	3796	2417
611	3802	2410
612	3808	2404
613	3814	2397
614	3819	2391
615	3826	2385
616	3831	2378
617	3836	2371
618	3843	2365
619	3848	2358
620	3853	2351
621	3860	2346
622	3865	2339
623	3870	2332
624	3877	2326
625	3883	2320
626	3889	2313
627	3895	2307
628	3900	2300
629	3906	2294
630	3910	2287
631	3916	2280
632	3921	2273
633	3926	2266
634	3932	2260
635	3939	2254
636	3944	2247
637	3950	2241
638	3956	2235
639	3962	2228
640	3967	2222
641	3974	2216
642	3979	2209
643	3984	2202
644	3992	2197
645	3997	2190
646	4004	2185
647	4010	2178
648	4016	2172
649	4023	2166
650	4029	2160
651	4037	2154
652	4043	2148
653	4049	2142
654	4055	2136
655	4061	2129
656	4068	2124
657	4074	2117
658	4080	2111
659	4087	2105
660	4093	2099
661	4100	2093
662	4106	2087
663	4112	2080
664	4118	2074
665	4123	2067
666	4128	2061
667	4133	2054
668	4138	2047
669	4143	2040
670	4150	2035
671	4155	2028
672	4160	2021
673	4166	2015
674	4172	2008
675	4178	2002
676	4183	1996
677	4189	1989
678	4195	1983
679	4200	1976
680	4205	1970
681	4212	1964
682	4217	1957
683	4221	1950
684	4227	1944
685	4232	1937
686	4238	1931
687	4244	1924
688	4249	1918
689	4254	1911
690	4259	1904
691	4265	1898
692	4270	1891
693	4277	1885
694	4282	1879
695	4287	1872
696	4294	1867
697	4300	1860
698	4305	1854
699	4311	1847
700	4316	1841
701	4321	1834
702	4327	1828
703	4332	1821
704	4337	1814
705	4343	1808
706	4349	1802
707	4354	1796
708	4363	1790
709	4369	1784
710	4377	1779
711	4383	1773
712	4390	1767
713	4396	1761
714	4403	1755
715	4410	1749
716	4415	1742
717	4422	1737
718	4429	1730
719	4434	1724
720	4440	1718
721	4445	1711
722	4451	1705
723	4458	1699
724	4465	1693
725	4473	1688
726	4480	1682
727	4488	1677
728	4494	1670
729	4502	1665
730	4508	1658
731	4513	1652
732	4519	1646
733	4524	1639
734	4529	1633
735	4535	1626
