iter	Logloss
0	0.6734342065
1	0.6578335706
2	0.6429713328
3	0.6307956731
4	0.6180527589
5	0.6049624742
6	0.5936684226
7	0.5820832274
8	0.5681844352
9	0.5599156137
10	0.5502988176
11	0.5381776439
12	0.5284681899
13	0.5188001976
14	0.5095145445
15	0.5026687253
16	0.4923089323
17	0.4850864841
18	0.4778877074
19	0.4714944081
20	0.4647537972
21	0.4573166288
22	0.44912095
23	0.4448833911
24	0.4389716254
25	0.4343906087
26	0.4286417436
27	0.4246435398
28	0.4192358109
29	0.415825185
30	0.4130758554
31	0.4093461846
32	0.4058728859
33	0.4026682974
34	0.3994236702
35	0.396822687
36	0.3921915259
37	0.389954189
38	0.3877425819
39	0.3831098946
40	0.379307591
41	0.3766084521
42	0.3727048179
43	0.3702530697
44	0.3677854608
45	0.3633162669
46	0.3614694345
47	0.3587966541
48	0.3550748876
49	0.3515159476
50	0.3492354086
51	0.3459021085
52	0.3432702157
53	0.3399086138
54	0.3387439108
55	0.3360352617
56	0.3349437775
57	0.3332652309
58	0.3316816509
59	0.3291163552
60	0.3252673849
61	0.3217005414
62	0.3201023174
63	0.3182402371
64	0.316130186
65	0.3140507078
66	0.31213496
67	0.3099008449
68	0.3082105546
69	0.30533365
70	0.3041271089
71	0.3026665041
72	0.3008954691
73	0.2997239709
74	0.2986469252
75	0.2973581019
76	0.2949119222
77	0.2929852457
78	0.2910237298
79	0.2890008393
80	0.287836733
81	0.285793582
82	0.2846406811
83	0.2830112406
84	0.2814244846
85	0.2808304304
86	0.2800750786
87	0.2788318391
88	0.2766068034
89	0.2753401117
90	0.2743621321
91	0.273777856
92	0.272506467
93	0.2714239953
94	0.2699293975
95	0.2686808773
96	0.2674153938
97	0.2661739976
98	0.2655641378
99	0.2645262273
100	0.2631351807
101	0.2617885267
102	0.2609717521
103	0.2599687265
104	0.2587145771
105	0.2579704219
106	0.2572360513
107	0.2564102117
108	0.2556002519
109	0.2544851187
110	0.2535529759
111	0.2530504311
112	0.2519811282
113	0.2515081654
114	0.2505430447
115	0.2496536226
116	0.2487524894
117	0.2478675979
118	0.2469307978
119	0.2458777847
120	0.2452250377
121	0.2444150349
122	0.2433426786
123	0.2427290162
124	0.2420558772
125	0.2409843638
126	0.2400063237
127	0.2392241561
128	0.2385822941
129	0.2381651165
130	0.2374965318
131	0.236671834
132	0.2360249278
133	0.2356154132
134	0.2351816335
135	0.2345897939
136	0.2338312683
137	0.2333254912
138	0.232328765
139	0.232040643
140	0.2306039009
141	0.2298550331
142	0.2291992114
143	0.2284839697
144	0.2276532848
145	0.2270591901
146	0.2266329362
147	0.2261963668
148	0.2257087537
149	0.2249385056
150	0.2241916602
151	0.2231783256
152	0.2225907785
153	0.2219503234
154	0.2215496446
155	0.2209213291
156	0.2204508136
157	0.2199146455
158	0.2193090985
159	0.2187287997
160	0.2181276455
161	0.2176325181
162	0.2170176157
163	0.216639692
164	0.2158418218
165	0.2153351394
166	0.2148689748
167	0.2142694599
168	0.2134433881
169	0.2129314932
170	0.212442454
171	0.2121897956
172	0.2116122814
173	0.2108580098
174	0.2102410487
175	0.209737285
176	0.2091126631
177	0.2084102454
178	0.2078666283
179	0.2072279776
180	0.2069145099
181	0.2063945469
182	0.205769219
183	0.2051757362
184	0.2047580051
185	0.2045252288
186	0.2039115775
187	0.2035300358
188	0.2033304491
189	0.2027247101
190	0.2023904999
191	0.2019783573
192	0.2016317025
193	0.2012966102
194	0.2007169541
195	0.2000947097
196	0.1997696549
197	0.1991946259
198	0.1986906933
199	0.1980640161
200	0.1977010453
201	0.1971923685
202	0.1967785678
203	0.1963241067
204	0.1959184239
205	0.1955972189
206	0.1950784372
207	0.1946572107
208	0.1943553815
209	0.1939170975
210	0.1933313712
211	0.1930406367
212	0.192584367
213	0.1920531548
214	0.1914059892
215	0.1912030401
216	0.1907794624
217	0.1904850929
218	0.1901500624
219	0.18975935
220	0.1894972965
221	0.1891767607
222	0.1888300386
223	0.188279661
224	0.1878834104
225	0.1872301918
226	0.1867418538
227	0.1863682638
228	0.186028699
229	0.1857693095
230	0.1853832966
231	0.1850959376
232	0.184705225
233	0.1844083164
234	0.1841426543
235	0.1839955022
236	0.1837053955
237	0.1833475801
238	0.183024597
239	0.1826502108
240	0.1823149358
241	0.1817908014
242	0.1814144277
243	0.1811399439
244	0.1808384547
245	0.1805727949
246	0.1803139002
247	0.1799884281
248	0.1795663153
249	0.1792930914
250	0.1789115024
251	0.1785964388
252	0.1781532955
253	0.1777104497
254	0.1774142581
255	0.1771920694
256	0.1769645005
257	0.1766982765
258	0.1764886571
259	0.1763075264
260	0.176041074
261	0.1758751
262	0.1756759558
263	0.1752755702
264	0.175001784
265	0.1745138408
266	0.1741446742
267	0.173765186
268	0.1734995413
269	0.1731978487
270	0.1729219413
271	0.1727360875
272	0.172482166
273	0.1721929865
274	0.1718300602
275	0.1714872465
276	0.1710601177
277	0.1708779586
278	0.1704858867
279	0.1700464556
280	0.1698436531
281	0.169480639
282	0.1691345062
283	0.1686129926
284	0.1683176796
285	0.1679936175
286	0.1676137367
287	0.1674092682
288	0.1671951768
289	0.1670425951
290	0.1667787012
291	0.1663898048
292	0.1660163469
293	0.1657801627
294	0.165510297
295	0.1651770189
296	0.165035172
297	0.1648501927
298	0.1645288409
299	0.1642654651
300	0.163953955
301	0.1637002904
302	0.1634900909
303	0.1632550334
304	0.162940144
305	0.1627668175
306	0.1625399013
307	0.1622937009
308	0.1620881039
309	0.1618188653
310	0.1615161631
311	0.1611706511
312	0.1607456705
313	0.1604549383
314	0.1601918657
315	0.1598326917
316	0.1594284474
317	0.1592352392
318	0.1591071176
319	0.1588763058
320	0.1587195469
321	0.1583851469
322	0.1581618326
323	0.1578919257
324	0.1574143701
325	0.1570855841
326	0.1567566288
327	0.1565650873
328	0.156399261
329	0.1560997485
330	0.1558079176
331	0.1554836347
332	0.155074033
333	0.1548129144
334	0.1545063438
335	0.1542689039
336	0.1541262684
337	0.1537889856
338	0.1536031383
339	0.1532881294
340	0.1530829494
341	0.1528946185
342	0.1526529711
343	0.1524663611
344	0.1523174287
345	0.1521042838
346	0.1519051628
347	0.1517040828
348	0.1514117139
349	0.1512196041
350	0.1510702555
351	0.1508679249
352	0.1505637531
353	0.1503882055
354	0.1501042397
355	0.1498611334
356	0.149697717
357	0.1495441198
358	0.1493820225
359	0.14903608
360	0.1487518895
361	0.1485036917
362	0.1482362577
363	0.1481015574
364	0.1479164041
365	0.1476274526
366	0.1473751686
367	0.1472214291
368	0.1469217134
369	0.1467820757
370	0.1464452523
371	0.1462553162
372	0.1460248991
373	0.1457075367
374	0.1454730961
375	0.1452298433
376	0.1450773718
377	0.1447061757
378	0.1445231989
379	0.144287273
380	0.1440859177
381	0.1438592675
382	0.1435281039
383	0.143341129
384	0.1431651174
385	0.142965094
386	0.1427689244
387	0.1426054796
388	0.1422851777
389	0.1421391941
390	0.1419222374
391	0.1417355052
392	0.1414753316
393	0.1412164882
394	0.1410024922
395	0.1407158957
396	0.1404331295
397	0.1402553116
398	0.1400656839
399	0.1398074707
400	0.1396101785
401	0.1394247309
402	0.1392098778
403	0.1390027715
404	0.1388463052
405	0.1386890534
406	0.1384966335
407	0.1382948619
408	0.1380875902
409	0.1378606676
410	0.1375835336
411	0.1373917526
412	0.1372400837
413	0.1370094957
414	0.1367922547
415	0.1366044912
416	0.1363589035
417	0.1361650132
418	0.1359851173
419	0.1358609618
420	0.1356571214
421	0.1353722208
422	0.1352131954
423	0.1350012569
424	0.1348139242
425	0.1345956902
426	0.1344185491
427	0.1342054358
428	0.1339918841
429	0.1338615068
430	0.1337020258
431	0.1334477165
432	0.1331742627
433	0.13301302
434	0.1329133928
435	0.1327340952
436	0.1324089234
437	0.1322339982
438	0.1319678584
439	0.131840977
440	0.1317165103
441	0.1315658533
442	0.1314893902
443	0.1312792532
444	0.1311623609
445	0.1308895993
446	0.1306839882
447	0.1304947733
448	0.1302816238
449	0.1301479811
450	0.1299677119
451	0.129790644
452	0.1296564668
453	0.129477858
454	0.1292595148
455	0.1291554292
456	0.1289733706
457	0.1287675191
458	0.1286108066
459	0.1284403463
460	0.1283031342
461	0.128202155
462	0.1279989499
463	0.1278249892
464	0.1275561323
465	0.1274410527
466	0.1271615125
467	0.1269603869
468	0.1267534181
469	0.1265942687
470	0.1264267524
471	0.1262853144
472	0.1260824301
473	0.1259726085
474	0.1258014158
475	0.1256662379
476	0.1255607602
477	0.1254196464
478	0.1252001901
479	0.1250497922
480	0.1249019271
481	0.1246782634
482	0.1246091233
483	0.1244833081
484	0.1242333399
485	0.124081991
486	0.1238780713
487	0.123662006
488	0.1235624592
489	0.1233319186
490	0.123190945
491	0.1231422999
492	0.1230208879
493	0.1228774632
494	0.1227311057
495	0.1225620509
496	0.1224558405
497	0.122318525
498	0.1221380652
499	0.1219519858
500	0.1217593478
501	0.1214901452
502	0.1213435482
503	0.1212449345
504	0.1211382921
505	0.1209482076
506	0.120831844
507	0.1207303739
508	0.1206361014
509	0.1204294629
510	0.1202346095
511	0.1200697609
512	0.1198318874
513	0.1196646732
514	0.119499838
515	0.1192887743
516	0.1191319715
517	0.1189909771
518	0.1188091971
519	0.1186884535
520	0.118450974
521	0.1182146574
522	0.11791473
523	0.1177267633
524	0.1174912759
525	0.1173103931
526	0.1171479371
527	0.1170153865
528	0.1168617324
529	0.1166433112
530	0.1164966923
531	0.1163343028
532	0.1161627505
533	0.1160330547
534	0.1159280439
535	0.1157306081
536	0.1155165298
537	0.1154173746
538	0.115232682
539	0.1151013875
540	0.1148666472
541	0.1146949168
542	0.1144884623
543	0.1143080512
544	0.1141843411
545	0.1139980141
546	0.1138288643
547	0.1136551861
548	0.113502556
549	0.1133818538
550	0.11314977
551	0.1129311193
552	0.1127590136
553	0.1126403747
554	0.1125253767
555	0.1123951984
556	0.1122838781
557	0.112170474
558	0.1120370697
559	0.1118218924
560	0.1116749979
561	0.1115077198
562	0.1113299358
563	0.1111419555
564	0.1110333466
565	0.1108909968
566	0.1107424453
567	0.1106582404
568	0.1104775036
569	0.1102630009
570	0.1100924806
571	0.1098899469
572	0.1097214383
573	0.1095970144
574	0.109448064
575	0.1092957631
576	0.1091565034
577	0.1090490786
578	0.1089215585
579	0.1087221472
580	0.1086387878
581	0.1085492988
582	0.1084833034
583	0.1083524477
584	0.1082293651
585	0.1081176481
586	0.1079973796
587	0.1078716106
588	0.1077049087
589	0.1075933446
590	0.1074597649
591	0.1073066234
592	0.1072415394
593	0.1070479563
594	0.1069365026
595	0.1068194348
596	0.1066455346
597	0.1065537988
598	0.1064402241
599	0.1063166479
600	0.1061551854
601	0.1060211859
602	0.1059443831
603	0.1058671904
604	0.1057666553
605	0.1056727584
606	0.1054983727
607	0.105341325
608	0.1051450152
609	0.1050555373
610	0.1049476759
611	0.1048330174
612	0.1047136781
613	0.1046226085
614	0.1045120485
615	0.1044003889
616	0.1042936059
617	0.1042016346
618	0.1041588301
619	0.1040389356
620	0.103909573
621	0.1037969814
622	0.1036169371
623	0.1034433886
624	0.1033768651
625	0.1032939846
626	0.1032423807
627	0.1031379287
628	0.103006969
629	0.1028587614
630	0.1027524273
631	0.1026429087
632	0.1024972015
633	0.1023512794
634	0.1022623828
635	0.102174485
636	0.1020096479
637	0.1018936843
638	0.1018278975
639	0.1017302161
640	0.1015113745
641	0.10140603
642	0.1012688216
643	0.101204971
644	0.1010964349
645	0.1010157968
646	0.1009173662
647	0.1007992609
648	0.1006602274
649	0.1005238537
650	0.1003803182
651	0.1002585626
652	0.1000990178
653	0.09999729427
654	0.09986243358
655	0.09974696621
656	0.09956842093
657	0.09948278618
658	0.09932854411
659	0.09925423611
